case_id,sample_role,frame,spell_id,spell_name,player_x,player_y,power,action,mask,issued_action_after_hit_detection,active_bullets,active_lasers,pipeline_clearance,minimum_pipeline_clearance_240f,minimum_corridor_slack_240f,nearest_bullet_clearance,nearest_laser_clearance,primary_cause_class,planner_failure_class,usable_pipeline_warning_lead_frames,usable_robust_warning_lead_frames,usable_viability_warning_lead_frames,viability_kernel_exhausted_at_frame,contributing_factors,bomb_input_verified_absent
LUN-S5-F2038-T1,canonical_fresh_attempt_causal_sample,2038,,,376.0,422.3431396484375,128.0,up_left_fast,81,left_fast,723,0,-2.493121385574341,-2.493121385574341,,0.206573486328125,,modeled_committed_prefix_collision,global_viability_kernel_exhausted_before_hit,2,7,240,1798,playfield_boundary;fast_mode,True
LUN-S5-F4202-T1,post_respawn_discovery_sample,4202,,,335.32421875,415.97161865234375,123.0,up_left_fast,81,up_left_fast,384,0,1.4440429210662842,-2.439074754714966,,-1.435791015625,,observed_bullet_overlap,global_viability_kernel_exhausted_before_hit,8,13,132,4070,fast_mode,True
LUN-S5-F7998-T1,post_respawn_discovery_sample,7998,,,138.98533630371094,432.0,108.0,up_fast,17,right_fast,781,0,-2.6820404529571533,-2.6820404529571533,5.057218074798584,-0.970184326171875,,observed_bullet_overlap,global_viability_kernel_exhausted_before_hit,0,10,117,7881,playfield_boundary;fast_mode,True
LUN-S5-F11923-T1,post_respawn_discovery_sample,11923,,,371.4000244140625,425.63983154296875,93.0,up_fast,17,left,368,0,-3.764422655105591,-3.764422655105591,-0.015421859427476647,0.293365478515625,,modeled_committed_prefix_collision,global_viability_kernel_exhausted_before_hit,0,16,174,11749,corridor_deadline_miss;fast_mode,True
LUN-S5-F12768-T1,post_respawn_discovery_sample,12768,,,190.40719604492188,432.0,78.0,right_fast,129,right,125,0,-1.0416138172149658,-1.0416138172149658,-1.3080386686332908,-1.9917144775390625,,observed_bullet_overlap,global_viability_kernel_exhausted_before_hit,0,8,80,12688,playfield_boundary;corridor_deadline_miss;fast_mode,True
LUN-S5-F13735-T1,post_respawn_discovery_sample,13735,,,369.0586242675781,432.0,64.0,up_right_fast,145,up_fast,370,0,-6.581884384155273,-14.41827392578125,8.099836573317036,0.29815673828125,,modeled_committed_prefix_collision,global_viability_kernel_exhausted_before_hit,8,13,145,13590,playfield_boundary;fast_mode,True
LUN-S5-F23000-T1,post_respawn_discovery_sample,23000,103,幻波「赤眼催眠(マインドブローイング)」,8.0,432.0,67.0,up_fast,17,up_fast,992,0,-2.9164791107177734,-2.9164791107177734,-4.67156982421875,1.4774948951307876,,modeled_committed_prefix_collision,global_viability_kernel_exhausted_before_hit,0,3,240,22760,playfield_boundary;corridor_deadline_miss;fast_mode,True
LUN-S5-F29569-T1,post_respawn_discovery_sample,29569,107,狂視「狂視調律(イリュージョンシーカー)」,169.14761352539062,432.0,51.0,down_right,165,down_right,999,0,-4.785992622375488,-6.035931587219238,,-1.2401580810546875,,observed_bullet_overlap,global_viability_kernel_exhausted_before_hit,10,24,238,29331,playfield_boundary,True
LUN-S5-F36025-T1,post_respawn_discovery_sample,36025,111,懶惰「生神停止(マインドストッパー)」,172.21778869628906,188.8418731689453,35.0,up,21,up_left,348,0,-3.0006465911865234,-3.0006465911865234,10.21482731849428,0.4524688720703125,,modeled_committed_prefix_collision,global_viability_kernel_exhausted_before_hit,0,6,111,35914,,True
