case_id,sample_role,frame,spell_id,spell_name,player_x,player_y,power,action,mask,issued_action_after_hit_detection,active_bullets,active_lasers,pipeline_clearance,minimum_pipeline_clearance_240f,minimum_corridor_slack_240f,nearest_bullet_clearance,nearest_laser_clearance,primary_cause_class,planner_failure_class,usable_pipeline_warning_lead_frames,usable_robust_warning_lead_frames,usable_viability_warning_lead_frames,viability_kernel_exhausted_at_frame,contributing_factors,bomb_input_verified_absent
LUN-S2-F1253-T1,canonical_fresh_attempt_causal_sample,1253,,,376.0,432.0,128.0,up_left_fast,81,up_left_fast,219,0,-2.4066829681396484,-11.91522216796875,,2.625579833984375,,modeled_committed_prefix_collision,robust_action_set_exhausted_before_hit,0,8,0,,playfield_boundary;fast_mode,True
LUN-S2-F2141-T1,post_respawn_discovery_sample,2141,,,316.2291564941406,432.0,115.0,right_fast,129,right_fast,567,0,-8.9136962890625,-8.9136962890625,,3.010162353515625,,modeled_committed_prefix_collision,robust_action_set_exhausted_before_hit,6,13,0,,playfield_boundary;fast_mode,True
LUN-S2-F8884-T1,post_respawn_discovery_sample,8884,,,372.46826171875,432.0,119.0,up_left,85,up_fast,406,0,-1.6039612293243408,-1.6039612293243408,,0.4249267578125,,modeled_committed_prefix_collision,robust_action_set_exhausted_before_hit,0,5,0,,playfield_boundary,True
LUN-S2-F16134-T1,post_respawn_discovery_sample,16134,38,始符「エフェメラリティ137」,309.85302734375,432.0,128.0,up_right_fast,145,right,211,0,-1.798162579536438,-1.798162579536438,,4.958953857421875,,modeled_committed_prefix_collision,global_viability_kernel_exhausted_before_hit,0,3,143,15991,playfield_boundary;fast_mode,True
